# Temperature	Density	   Cp		 u	 v	 k	alpha	  Pr	  	beta	
	273	1130.8	  2.294		6.51	57.6	242	0.933	 617		0.65
	280	1125.8	  2.323		4.20	37.3	244	0.933	 400 		0.65
	290	1118.8	  2.368		2.47	22.1	248	0.936	 236		0.65
	300	1114.4	  2.415		1.57	14.1	252	0.939	 151		0.65
	310	1103.7	  2.460		1.07	9.65	255	0.939	 103		0.65
	320	1096.2	  2.505		0.757	6.91	258	0.940	 73.5		0.65
	330	1089.5	  2.549		0.561	5.15	260	0.936	 55.0		0.65
	340	1083.8	  2.592		0.431	3.98	261	0.929	 42.8		0.65
	350	1079.0	  2.637		0.342	3.17	261	0.917	 34.6		0.65
	360	1074.0	  2.682		0.278	2.59	261	0.906	 28.6		0.65
	370	1066.7	  2.728		0.228	2.14	262	0.900	 23.7		0.65
	373	1058.5	  2.742		0.215	2.03	263	0.906	 22.4		0.65
	
	
	
	
	
	
