# Temperature	Density	   Cp		 u	 v	 k	alpha	  Pr	  	beta	
	230	1528.4	 0.8816		0.0457	0.299	68	0.505	5.9 		1.85	
	240	1498.0	 0.8923 	0.0385	0.257	69	0.516	5.0		1.90
	250	1469.5 	 0.9037		0.0354	0.241	70	0.527	4.6		2.00
	260	1439.0	 0.9163 	0.0322	0.224	73	0.554	4.0		2.10
	270	1407.2	 0.9301		0.0304	0.216	73	0.558	3.9		2.25
	280	1374.4	 0.9450		0.0283	0.206	73	0.562	3.7		2.35
	290	1340.5	 0.9609		0.0265	0.198	73	0.567	3.5		2.55
	300	1305.8	 0.9781		0.0254	0.195	72	0.564	3.5		2.75
	310	1268.9	 0.9963		0.0244	0.192	69	0.546	3.4		3.05
	320	1228.6	 1.0155		0.0233	0.190	68	0.545	3.5		3.5
